"district","party_dem","party_rep","party_npp","party_rin","party_lib","party_grn","party_con","party_ind","party_oth","party_unk","party_othertotal","party_total","per_dem","per_rep","per_other","lawmaker_name","lawmaker_party"
"1","137277","25070","22760","1477","755","273","7","24","2187","0","27483","189830","72.32%","13.21%","14.48%","Nikil Saval","Democratic"
"2","103486","19932","15323","848","417","173","5","16","2352","0","19134","142552","72.60%","13.98%","13.42%","Christine Tartaglione","Democratic"
"3","128487","8865","13105","938","339","169","6","20","2581","0","17158","154510","83.16%","5.74%","11.10%","Sharif Street","Democratic"
"4","142984","23648","15084","1362","567","220","6","11","1777","0","19027","185659","77.01%","12.74%","10.25%","Art Haywood","Democratic"
"5","87144","36363","15570","1043","511","178","7","16","1856","0","19181","142688","61.07%","25.48%","13.44%","John Sabatina Jr.","Democratic"
"6","79397","67247","21816","1813","907","172","14","13","1463","0","26198","172842","45.94%","38.91%","15.16%","Robert Tomlinson","Republican"
"7","131975","21435","16540","1381","554","203","2","12","2514","0","21206","174616","75.58%","12.28%","12.14%","Vincent Hughes","Democratic"
"8","130489","14339","13156","1088","382","195","4","15","2785","0","17625","162453","80.32%","8.83%","10.85%","Anthony Williams","Democratic"
"9","77740","76575","22135","1943","744","164","9","19","2193","0","27207","181522","42.83%","42.18%","14.99%","John Kane","Democratic"
"10","79126","76233","28398","2582","1130","233","23","20","1334","0","33720","189079","41.85%","40.32%","17.83%","Steve Santarsiero","Democratic"
"11","72196","52168","20398","1349","902","231","20","6","1956","0","24862","149226","48.38%","34.96%","16.66%","Judy Schwank","Democratic"
"12","77458","72865","23109","1901","899","172","8","8","1565","0","27662","177985","43.52%","40.94%","15.54%","Maria Collett","Democratic"
"13","60145","73191","22090","2300","955","236","23","9","1424","0","27037","160373","37.50%","45.64%","16.86%","Scott Martin","Republican"
"14","74249","57979","15724","2411","760","192","24","7","1519","0","20637","152865","48.57%","37.93%","13.50%","John Yudichak","Independent"
"15","70235","73433","19519","2198","854","179","17","12","1569","0","24348","168016","41.80%","43.71%","14.49%","John DiSanto","Republican"
"16","79752","59957","26016","2176","933","181","31","9","1717","0","31063","170772","46.70%","35.11%","18.19%","Pat Browne","Republican"
"17","101158","54003","23352","1808","733","196","8","11","2164","0","28272","183433","55.15%","29.44%","15.41%","Amanda Cappelletti","Democratic"
"18","88015","54072","27239","2410","966","223","24","13","1524","0","32399","174486","50.44%","30.99%","18.57%","Lisa Boscola","Democratic"
"19","78069","66018","26776","2100","979","208","8","26","1761","0","31858","175945","44.37%","37.52%","18.11%","Carolyn Comitta","Democratic"
"20","51695","82466","18180","2912","830","210","78","5","1410","0","23625","157786","32.76%","52.26%","14.97%","Lisa Baker","Republican"
"21","49148","92622","16668","3241","942","137","38","14","1247","0","22287","164057","29.96%","56.46%","13.58%","Scott Hutchinson","Republican"
"22","93738","51187","15039","2119","700","206","26","14","817","0","18921","163846","57.21%","31.24%","11.55%","Martin Flynn","Democratic"
"23","38116","83804","14570","2068","751","149","31","25","1407","0","19001","140921","27.05%","59.47%","13.48%","Gene Yaw","Republican"
"24","65664","74577","23265","2048","1185","234","16","7","1533","0","28288","168529","38.96%","44.25%","16.79%","Bob Mensch","Republican"
"25","38030","86870","12818","1902","763","137","36","25","1103","0","16784","141684","26.84%","61.31%","11.85%","Cris Dush","Republican"
"26","83844","74770","19265","1560","692","148","12","19","2123","0","23819","182433","45.96%","40.98%","13.06%","Timothy Kearney","Democratic"
"27","43898","78667","15001","2115","845","172","32","9","1117","0","19291","141856","30.95%","55.46%","13.60%","John Gordner","Republican"
"28","58085","83960","22477","2231","1148","208","34","12","1243","0","27353","169398","34.29%","49.56%","16.15%","Kristin Phillips-Hill","Republican"
"29","52250","80223","16240","1870","873","194","19","12","1422","0","20630","153103","34.13%","52.40%","13.47%","David Argall","Republican"
"30","35731","94019","14019","1967","739","136","22","17","1100","0","18000","147750","24.18%","63.63%","12.18%","Judith Ward","Republican"
"31","62311","95023","23694","2751","1112","248","29","16","1483","0","29333","186667","33.38%","50.91%","15.71%","Mike Regan","Republican"
"32","59130","72142","11240","1562","603","88","19","25","795","0","14332","145604","40.61%","49.55%","9.84%","Patrick Stefano","Republican"
"33","45621","95981","20337","2413","986","193","22","20","1837","0","25808","167410","27.25%","57.33%","15.42%","Doug Mastriano","Republican"
"34","52415","71318","16705","1835","844","173","22","15","2449","0","22043","145776","35.96%","48.92%","15.12%","Jake Corman III","Republican"
"35","51077","80095","11431","1906","602","100","8","18","781","0","14846","146018","34.98%","54.85%","10.17%","Wayne Langerholc","Republican"
"36","46365","96016","21130","2334","1104","210","26","12","1155","0","25971","168352","27.54%","57.03%","15.43%","Ryan Aument","Republican"
"37","90953","82096","23093","2504","1068","162","12","46","1260","0","28145","201194","45.21%","40.80%","13.99%","Devlin Robinson","Republican"
"38","90059","70007","22060","2601","1039","177","17","23","1422","0","27339","187405","48.06%","37.36%","14.59%","Lindsey Williams","Democratic"
"39","62328","79561","14582","2060","893","108","25","13","1265","0","18946","160835","38.75%","49.47%","11.78%","Kim Ward","Republican"
"40","72208","70270","27077","2874","1085","221","52","37","1810","0","33156","175634","41.11%","40.01%","18.88%","Mario Scavello","Republican"
"41","45636","83378","13773","1894","782","108","32","11","902","0","17502","146516","31.15%","56.91%","11.95%","Joe Pittman","Republican"
"42","116778","35207","19360","2166","967","244","15","35","2070","0","24857","176842","66.04%","19.91%","14.06%","Wayne Fontana","Democratic"
"43","124952","27403","20483","2022","859","266","17","15","2450","0","26112","178467","70.01%","15.35%","14.63%","Jay Costa","Democratic"
"44","74411","79154","27001","2173","1054","205","15","12","1613","0","32073","185638","40.08%","42.64%","17.28%","Katie Muth","Democratic"
"45","92317","50934","16231","2164","793","142","27","15","1674","0","21046","164297","56.19%","31.00%","12.81%","James Brewster","Democratic"
"46","71117","68596","13827","1773","731","137","26","46","1543","0","18083","157796","45.07%","43.47%","11.46%","Camera Bartolotta","Republican"
"47","65491","70016","13684","2046","816","121","18","8","2959","0","19652","155159","42.21%","45.13%","12.67%","Elder Vogel","Republican"
"48","55706","84219","20610","2143","1042","178","13","19","1524","0","25529","165454","33.67%","50.90%","15.43%","Chris Gebhard","Republican"
"49","73759","52799","15039","2011","799","178","20","1","1327","0","19375","145933","50.54%","36.18%","13.28%","Daniel Laughlin","Republican"
"50","49725","72893","13657","2131","683","129","27","24","1169","0","17820","140438","35.41%","51.90%","12.69%","Michele Brooks","Republican"
